complaint,department
"Wi-Fi is not working in the computer lab","Technical"
"Internet connection is very slow","Technical"
"College website is not opening","Technical"
"The computer in the lab is not working","Technical"
"I cannot login to the student portal","Technical"
"The student portal is showing an error","Technical"
"College mobile application is not working","Technical"
"The biometric attendance machine is not working","Technical"
"I cannot access the online learning portal","Technical"
"The classroom projector is not connecting to the computer","Technical"
"The printer in the lab is not working","Technical"
"I am unable to reset my college portal password","Technical"
"The smart classroom system is not working","Technical"
"The computer keeps restarting in the laboratory","Technical"
"The online examination portal is not loading","Technical"
"Fan is not working in classroom","Maintenance"
"Classroom lights are not working","Maintenance"
"Classroom door is damaged","Maintenance"
"The AC in my classroom is not working","Maintenance"
"The classroom fan is making noise","Maintenance"
"The classroom lights are flickering","Maintenance"
"The laboratory equipment is damaged","Maintenance"
"The classroom bench is broken","Maintenance"
"The washroom tap is not working","Maintenance"
"The classroom whiteboard is damaged","Maintenance"
"The classroom ceiling has water leakage","Maintenance"
"The washroom is not being cleaned properly","Maintenance"
"The classroom window is broken","Maintenance"
"The electrical switch in the classroom is damaged","Maintenance"
"The drinking water cooler is not working","Maintenance"
"My fee payment is not updated","Fee"
"I have not received my fee receipt","Fee"
"There is an issue with my fee payment","Fee"
"My fee payment status is still pending","Fee"
"I paid my semester fee but it is showing unpaid","Fee"
"I have a query about my tuition fee","Fee"
"I want to know my remaining fee amount","Fee"
"I have a problem with my fee refund","Fee"
"I have not received my fee payment confirmation","Fee"
"I need help with fee installment payment","Fee"
"I have a query about the last date for fee payment","Fee"
"I have a query about my scholarship fee","Fee"
"I want to update my fee payment details","Fee"
"My attendance is not marked","Academics"
"My internal marks are incorrect","Academics"
"I have a problem with my timetable","Academics"
"My attendance is not updated for a class I attended","Academics"
"I was marked absent even though I was present","Academics"
"I have a problem with semester registration","Academics"
"I am unable to register for my semester","Academics"
"I have a problem with my assignment submission","Academics"
"I need help with an assignment submission deadline","Academics"
"I have a problem with my internal assessment","Academics"
"I want to change my subject registration","Academics"
"My subject is not showing in the registration portal","Academics"
"I have a query about my academic schedule","Academics"
"College bus is arriving late","Transportation"
"My bus route is not available","Transportation"
"Bus driver is driving carelessly","Transportation"
"The bus driver is driving too fast","Transportation"
"The bus driver is not following traffic rules","Transportation"
"The bus conductor is behaving carelessly","Transportation"
"The bus conductor is not checking bus passes properly","Transportation"
"My college bus is not stopping at the designated stop","Transportation"
"I have a complaint about the bus driver","Transportation"
"The college bus is overcrowded","Transportation"
"The bus is not available on my route","Transportation"
"I have a query about the college bus timings","Transportation"
"The bus is not arriving on time","Transportation"
"I want to change my bus route","Transportation"
"My marksheet has not been updated after clearing my back","Exam Cell"
"I want to update my marksheet after passing a back paper","Exam Cell"
"I have a problem with my examination form","Exam Cell"
"I am unable to submit my examination form","Exam Cell"
"I have a query about my exam schedule","Exam Cell"
"I have a problem with my exam admit card","Exam Cell"
"I have not received my examination admit card","Exam Cell"
"I have a query about my back examination","Exam Cell"
"I have a problem with my exam result","Exam Cell"
"I want to know the procedure for revaluation of marks","Exam Cell"
"I have a query about supplementary examination","Exam Cell"
"I have a problem with my practical examination schedule","Exam Cell"
"I have a query about my examination fee","Exam Cell"
"I have a problem with my hostel room","Hostel"
"The hostel room fan is not working","Hostel"
"The hostel water supply is not working","Hostel"
"I have a problem with hostel room allocation","Hostel"
"I have not received my hostel allotment","Hostel"
"I have a complaint about hostel cleanliness","Hostel"
"I have a problem with hostel maintenance","Hostel"
"I want to report a hostel room issue","Hostel"
"I have a problem with hostel electricity","Hostel"
"I have a complaint about hostel facilities","Hostel"
"I need help regarding hostel registration","Hostel"
"I have a problem with my student ID card","Administration"
"I need to update my personal details in college records","Administration"
"I have not received my college ID card","Administration"
"I need a duplicate student ID card","Administration"
"I have a problem with my college document verification","Administration"
"I need a bonafide certificate","Administration"
"I have a query about obtaining a migration certificate","Administration"
"I need help with a college administrative process","Administration"
"I want to update my contact information in college records","Administration"
"I have a problem with my student registration details","Administration"
